"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.38978245312519e-297,9.64887241829448,0.587,0.001,3.4923843264583e-293,"19","Gm36028"
4.67315148993498e-245,9.6378997388967,0.496,0.001,1.17431623790576e-240,"19","Dok5"
7.89302749979717e-154,9.50219188290685,0.325,0,1.98343888042403e-149,"19","Abo"
0,12.1680395914693,0.978,0.002,0,"20","Tmem212"
0,12.0843184914245,0.912,0.001,0,"20","Sntn"
9.83933874996676e-152,11.7904644998751,0.319,0,2.47252743447915e-147,"20","Pih1h3b"
0,11.6165890346671,0.672,0,0,"20","Tbata"
0,11.604273079788,0.721,0,0,"20","Fam216b"
0,11.5223881474577,0.757,0,0,"20","1700001C02Rik"
2.44619164369363e-149,11.3838324803947,0.314,0,6.14703498143771e-145,"20","Gm31063"
0,11.3793404937178,0.849,0.001,0,"20","Dthd1"
0,11.3698720332446,0.946,0.002,0,"20","Gm19935"
9.12473157285228e-248,11.3179593464495,0.5,0,2.29295379694205e-243,"20","Gm28729"
0,13.3937067857098,0.782,0.001,0,"21","Snorc"
0,12.1542492287882,0.657,0.001,0,"21","Ucma"
0,11.8385719395799,0.752,0.002,0,"21","Col2a1"
1.56967257202372e-126,11.4488498731328,0.269,0,3.94443020623842e-122,"21","Matn3"
0,11.2988862318925,0.926,0.004,0,"21","Cytl1"
7.79494237410452e-273,9.78777550873195,0.557,0.002,1.95879106918872e-268,"21","Prg4"
0,9.41525784261015,0.803,0.004,0,"21","Acan"
0,9.2940586902307,0.906,0.008,0,"21","Cnmd"
0,9.22694479454895,0.678,0.002,0,"21","Hapln1"
1.20276473709676e-280,9.00959664643096,0.568,0.002,3.02242750785045e-276,"21","Fzd9"
0,11.8686188895191,0.925,0.003,0,"22","Bpifb6"
0,11.7381120126233,0.815,0.001,0,"22","Ces1a"
0,11.5315141952233,0.953,0.005,0,"22","Ptgds"
0,11.0356192164851,0.96,0.006,0,"22","Bpifb4"
0,10.5862402171719,0.95,0.009,0,"22","5430419D17Rik"
3.30138673136811e-136,10.5487285317416,0.297,0,8.29605471725493e-132,"22","E130120K24Rik"
0,10.4864425006152,0.983,0.018,0,"22","Gpx6"
0,9.55442471885782,0.858,0.004,0,"22","Gkn3"
0,9.44070768275004,0.731,0.003,0,"22","Tac4"
1.97101243502802e-200,8.16443555437483,0.436,0.002,4.95295714798191e-196,"22","Pla2g3"
2.35780843497864e-233,6.56922295783899,0.551,0.012,5.92493681625783e-229,"23","Hist1h1a"
1.2555344376524e-187,6.49131200987335,0.444,0.005,3.15503248837672e-183,"23","Hist1h2af"
5.27065170717438e-217,6.3745276050155,0.509,0.008,1.32446206749585e-212,"23","Hist1h2ab"
3.90429535242954e-311,6.35193559883665,0.709,0.01,9.8111037911202e-307,"23","Hist1h3c"
0,6.27712427251734,0.81,0.026,0,"23","Hist1h1b"
0,6.24715485163321,0.868,0.02,0,"23","Pclaf"
0,6.22347253009955,0.821,0.014,0,"23","Nusap1"
5.2836958826793e-120,6.2134191932631,0.294,0.004,1.32773993835848e-115,"23","Hist1h2bn"
4.7439767861945e-151,6.15669200816073,0.374,0.006,1.19211392660282e-146,"23","Neil3"
1.54476399399457e-115,6.10256324873367,0.286,0.005,3.88183744050895e-111,"23","Cdca5"
7.02027678423596e-119,14.8948861765406,0.259,0,1.76412535311066e-114,"24","Lce3a"
1.05027150079433e-222,14.6781062766894,0.474,0,2.63922725434607e-218,"24","Clca4a"
0,14.6393615486701,0.921,0,0,"24","Gm9573"
0,13.9783292576739,0.979,0.002,0,"24","Csta1"
0,13.8969354015175,0.785,0,0,"24","Gm44275"
2.32637744516605e-243,13.874902495005,0.515,0,5.84595388195777e-239,"24","Clca4b"
0,13.7449774936237,0.756,0,0,"24","Pbp2"
6.00802363408647e-172,13.6527329502221,0.374,0.001,1.50975625900959e-167,"24","Crct1"
0,13.3884853348236,0.906,0.001,0,"24","Cysrt1"
0,12.955025168205,0.782,0,0,"24","Ankk1"
1.05453190325573e-263,10.3505334913464,0.574,0.001,2.64993321969132e-259,"25","Ly6g6f"
4.06534864716752e-298,10.2970135544482,0.645,0.002,1.02158146154673e-293,"25","Il25"
0,10.2056930187235,0.797,0.002,0,"25","Trpm5"
6.60645982900859e-215,10.1357210533561,0.477,0.001,1.66013729043157e-210,"25","Hmx3"
1.85720376626386e-177,10.1331894774073,0.397,0.001,4.66696734424446e-173,"25","Chat"
0,9.99460971144035,0.697,0.001,0,"25","Sh2d7"
8.41675204387761e-251,9.87578314117472,0.558,0.001,2.11504562110601e-246,"25","1810046K07Rik"
0,9.85808454169108,0.835,0.003,0,"25","Avil"
1.33378340338355e-245,9.65027782254852,0.539,0.001,3.35166431436253e-241,"25","Gnat3"
9.16118502730672e-179,9.63728071149825,0.397,0.001,2.30211418551191e-174,"25","Hmx2"
0,10.6577020906933,0.772,0.001,0,"26","Fezf2"
2.97051439273835e-182,9.6260771812865,0.398,0.001,7.46460561751219e-178,"26","Sall3"
3.2119576642612e-167,9.596815751979,0.371,0.001,8.07132841452198e-163,"26","Ctf2"
7.5631138196456e-166,9.52018317330869,0.367,0.001,1.90053487173874e-161,"26","Gulo"
5.68750806123591e-262,8.70970109804352,0.568,0.001,1.42921390070797e-257,"26","Otop1"
4.79648003864059e-138,8.39064680309528,0.316,0.001,1.20530746890999e-133,"26","4931428L18Rik"
2.65010826195469e-128,8.26160846605724,0.296,0.001,6.65945705146593e-124,"26","Adamts16"
9.73570110473181e-115,7.97292691177295,0.255,0.001,2.44648433060806e-110,"26","Erbb4"
3.77818966702825e-230,7.4539310182376,0.507,0.004,9.49421281427529e-226,"26","Pcdh15"
